Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Will Smith,30,C,4.5,110,436,362,64,107,20,1,17,61,2,3,64,89,.296,.404,.497,.901,152,.387,151,180,7,5,0,5,1,2H/D,ASMVP-20,smithwi05
2,Freddie Freeman*,35,1B,3.5,147,627,556,81,164,39,2,24,90,6,2,60,128,.295,.367,.502,.869,141,.376,141,279,13,6,0,5,7,*3/H,ASMVP-13,freemfr01
3,Tommy Edman#,30,2B,1.1,97,377,346,49,78,13,1,13,49,3,1,19,61,.225,.274,.382,.655,82,.302,88,132,4,6,1,5,0,485/HD,,edmanto01
4,Mookie Betts,32,SS,4.9,150,663,589,95,152,23,2,20,82,8,2,61,68,.258,.326,.406,.732,104,.322,102,239,15,3,0,10,2,*6/H9,,bettsmo01
5,Max Muncy*,34,3B,3.6,100,388,313,48,76,10,2,19,67,4,0,64,83,.243,.376,.470,.846,136,.370,136,147,4,6,0,5,2,5H,,muncyma01
6,Michael Conforto*,32,LF,-0.7,138,486,418,54,83,20,0,12,36,1,0,56,121,.199,.305,.333,.637,79,.289,79,139,12,9,0,3,0,*7H,,confomi01
7,Andy Pages,24,CF,3.8,156,624,581,74,158,27,1,27,86,14,7,29,135,.272,.313,.461,.774,114,.338,115,268,9,8,0,6,0,*897,,pagesan01
8,Teoscar Hernández,32,RF,1.5,134,546,511,65,126,29,1,25,89,5,2,26,134,.247,.284,.454,.738,103,.318,100,232,13,3,0,5,0,*9/H,,hernate01
9,Shohei Ohtani*,30,DH,6.6,158,727,611,146,172,25,9,55,102,20,6,109,187,.282,.392,.622,1.014,179,.423,175,380,9,3,0,2,20,*D1,ASMVP-1SS,ohtansh01
10,Miguel Rojas,36,IF,2.1,114,317,290,35,76,18,0,7,27,5,0,24,46,.262,.318,.397,.715,100,.319,98,115,7,0,3,0,1,456H/13,,rojasmi02
11,Kiké Hernández,33,UT,0.2,92,256,232,30,47,8,0,10,35,0,0,18,68,.203,.255,.366,.621,72,.276,71,85,7,0,1,5,0,357H4/81D,,hernaen02
12,Hyeseong Kim*,26,2B,1.7,71,170,161,19,45,6,1,3,17,13,1,7,52,.280,.314,.385,.699,95,.335,102,62,0,1,1,0,0,4H86,,kimhy02
13,Dalton Rushing*,24,C,0.2,53,155,142,15,29,5,0,4,24,0,0,10,58,.204,.258,.324,.582,63,.263,61,46,1,1,0,2,0,2/H3D,,rushida01
14,Alex Freeland#,23,IF,0.2,29,97,84,10,16,2,1,2,6,1,0,11,35,.190,.292,.310,.601,70,.276,68,26,3,1,1,0,0,54/H,,freelal01
15,Alex Call,30,OF,0.4,38,85,73,13,18,4,0,2,5,1,0,10,19,.247,.333,.384,.717,101,.321,100,28,1,0,1,1,0,7H9/8D,,callal02
16,Ben Rortvedt*,27,C,0.1,18,58,49,7,11,2,0,1,4,0,0,4,9,.224,.309,.327,.636,79,.289,78,16,1,2,3,0,0,2,,rortvbe01
17,Austin Barnes,35,C,-0.3,13,44,42,4,9,3,0,0,2,0,0,1,14,.214,.233,.286,.518,45,.227,34,12,1,0,1,0,0,2/3DH,,barneau01
18,James Outman*,28,CF,-0.2,22,44,39,8,4,1,0,2,4,0,0,4,18,.103,.205,.282,.487,35,.221,31,11,0,1,0,0,0,8/H9,,outmaja01
19,Chris Taylor,34,UT,-0.6,28,35,35,4,7,2,0,0,2,0,1,0,13,.200,.200,.257,.457,28,.180,13,9,1,0,0,0,0,7/8H49,,tayloch03
20,Esteury Ruiz,26,OF,-0.2,19,23,21,2,4,0,0,1,2,4,0,2,8,.190,.261,.333,.594,66,.304,61,7,0,0,0,0,0,7/H9,,ruizes01
21,Buddy Kennedy,26,3B,-0.3,7,18,17,1,1,0,0,0,1,0,0,0,5,.059,.111,.059,.170,-50,.135,-29,1,0,1,0,0,0,/5H,,kennebu01
22,Eddie Rosario*,33,DH,0.0,2,4,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,42,.225,36,1,0,0,0,0,0,/D,,rosared01
23,Hunter Feduccia*,28,1B,0.0,2,3,2,0,0,0,0,0,0,0,0,1,1,.000,.333,.000,.333,5,.232,40,0,0,0,0,0,0,/H3,,feduchu01
24,Chuckie Robinson,30,C,0.0,1,2,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-333,0,0,0,1,0,0,/2,,robinch04
25,Justin Dean,28,CF,0.0,18,2,2,0,0,0,0,0,0,1,0,0,1,.000,.000,.000,.000,-100,.122,-126,0,0,0,0,0,0,8/H,,deanju01
26,Tanner Scott,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,scottta01
27,Anthony Banda*,31,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,bandaan01
,Team Totals,,,31.9,162,6187,5481,825,1384,257,21,244,791,88,25,580,1353,.253,.327,.441,.768,114,.337,113,2415,108,56,13,54,33,,,-9999
