
Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
1,Jeremy Beasley,29,8,12,9,0,1,0,0,0,1,0,0,0,5,.111,.111,.111,.222,1,0,0,3,0,0,,player.fcgi?id=beasle001jer
2,Koji Chikamoto*,30,140,638,573,76,160,25,4,3,34,32,9,60,88,.279,.348,.353,.700,202,3,2,0,3,1,,player.fcgi?id=chikam000koj
3,Jon Duplantier*,30,15,28,26,0,1,0,0,0,0,0,0,0,16,.038,.038,.038,.077,1,0,0,2,0,0,,player.fcgi?id=duplan000jon
4,Fumihito Haraguchi,33,16,17,16,1,1,0,0,0,2,0,0,1,5,.063,.118,.063,.180,1,2,0,0,0,1,,player.fcgi?id=haragu000fum
5,Daiki Hayakawa,25,3,4,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,1,0,0,,player.fcgi?id=hayaka002dai
6,Ramon Hernandez,29,47,101,96,3,22,3,0,1,8,0,0,4,26,.229,.257,.292,.549,28,6,0,0,1,0,,player.fcgi?id=hernan011ram
7,Takato Ihara*,24,28,27,25,0,4,0,0,0,0,0,0,0,5,.160,.160,.160,.320,4,1,0,2,0,0,,player.fcgi?id=ihara-000tak
8,Kouta Inoue,23,1,3,3,0,0,0,0,0,0,1,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,,player.fcgi?id=inoue-000kou
9,Daichi Ishii,27,53,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,,player.fcgi?id=ishii-000dai
10,Masashi Itoh*,29,14,31,27,1,2,0,0,0,1,0,0,0,14,.074,.074,.074,.148,2,3,0,4,0,0,,player.fcgi?id=itoh--001mas
11,Kento Itohara*,32,61,75,69,0,14,0,0,0,4,1,0,5,16,.203,.253,.203,.456,14,1,0,0,1,1,,player.fcgi?id=itohar000ken
12,Hinase Itsubo,20,6,18,18,1,3,0,0,0,0,0,0,0,4,.167,.167,.167,.333,3,0,0,0,0,0,,player.fcgi?id=itsubo000hin
13,Seiya Kinami*,31,72,203,181,12,35,8,2,0,15,1,1,12,48,.193,.255,.260,.515,47,1,3,7,0,2,,player.fcgi?id=kinami000sei
14,Takahiro Kumagai#,29,85,170,156,22,35,2,3,1,18,6,4,5,33,.224,.253,.295,.548,46,5,1,8,0,0,,player.fcgi?id=kumaga001tak
15,Taishi Kusumoto*,29,16,16,15,0,2,1,0,0,1,0,0,1,6,.133,.188,.200,.388,3,0,0,0,0,0,,player.fcgi?id=kusumo000tai
16,Ukyo Maegawa*,22,69,209,195,11,48,10,1,1,15,0,1,8,30,.246,.297,.323,.620,63,2,6,0,0,2,,player.fcgi?id=maegaw000uky
17,Keito Mombetsu*,20,12,13,11,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,2,0,0,,player.fcgi?id=mombet000kei
18,Shota Morishita,24,143,620,549,82,151,24,5,23,89,5,2,54,86,.275,.350,.463,.813,254,15,12,0,5,4,,player.fcgi?id=morish000sho
19,Shoki Murakami*,27,26,61,53,0,4,0,0,0,0,0,0,1,31,.075,.093,.075,.168,4,1,0,7,0,0,,player.fcgi?id=muraka000sho
20,Kenya Nagasaka,31,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,1,0,0,0,0,,player.fcgi?id=nagasa002ken
21,Hayato Nakagawa,21,25,59,56,3,15,1,0,2,2,0,0,2,16,.268,.293,.393,.686,22,2,0,1,0,0,,player.fcgi?id=nakaga001hay
22,Takumu Nakano*,29,143,625,531,65,150,18,3,0,30,19,7,44,77,.282,.339,.328,.667,174,5,3,44,3,1,,player.fcgi?id=nakano004tak
23,Nick Nelson,29,23,5,4,0,0,0,0,0,0,0,0,1,3,.000,.200,.000,.200,0,0,0,0,0,0,,player.fcgi?id=nelson003nic
24,Yuki Nishi,34,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,player.fcgi?id=nishi-001yuk
25,Ryuhei Obata*,24,89,297,265,23,59,8,0,5,17,6,2,18,64,.223,.272,.309,.581,82,5,1,10,3,3,,player.fcgi?id=obata-000ryu
26,Koutaro Ohtake*,30,16,35,30,1,5,0,0,0,2,0,0,1,14,.167,.194,.167,.360,5,0,0,4,0,0,,player.fcgi?id=otake-000kot
27,Yusuke Ohyama,30,141,587,503,52,133,25,1,13,75,6,3,74,96,.264,.363,.396,.758,199,16,6,0,4,7,,player.fcgi?id=oyama-000yus
28,Dan Onodera,27,19,30,29,3,7,1,0,0,0,0,0,1,9,.241,.267,.276,.543,8,0,0,0,0,0,,player.fcgi?id=onoder000dan
29,Hiroto Saiki,26,24,54,45,1,2,0,0,0,1,0,0,2,25,.044,.085,.044,.130,2,1,0,7,0,0,,player.fcgi?id=saiki-000hir
30,Yuki Sakaeda,27,8,9,9,1,2,0,0,0,1,0,1,0,3,.222,.222,.222,.444,2,0,0,0,0,0,,player.fcgi?id=sakaed000yuk
31,Seishiro Sakamoto,31,117,414,340,21,84,19,1,2,27,2,2,53,91,.247,.357,.326,.683,111,6,5,16,0,6,,player.fcgi?id=sakamo000sei
32,Teruaki Sato*,26,139,597,537,83,149,34,4,40,102,10,2,57,163,.277,.345,.579,.924,311,5,0,0,3,9,,player.fcgi?id=sato--000ter
33,Kairi Shimada*,29,28,35,31,2,4,0,0,0,0,1,2,1,1,.129,.156,.129,.285,4,0,0,3,0,0,,player.fcgi?id=shimad000kai
34,Haruto Takahashi*,29,8,15,13,2,1,0,0,0,0,0,0,0,6,.077,.077,.077,.154,1,0,0,2,0,0,,player.fcgi?id=takaha000har
35,Nozomu Takatera*,22,67,160,134,10,31,4,0,2,7,4,1,18,37,.231,.325,.306,.631,41,1,1,6,1,1,,player.fcgi?id=takate000noz
36,Ren Tomida*,23,9,6,5,1,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,1,0,0,,player.fcgi?id=tomida000ren
37,Hiroshi Toyoda,28,33,61,56,2,13,4,0,0,4,0,0,4,16,.232,.279,.304,.582,17,3,0,0,1,0,,player.fcgi?id=toyoda000hir
38,Kai Ueda,29,42,19,17,10,1,1,0,0,1,4,1,2,9,.059,.158,.118,.276,2,0,0,0,0,0,,player.fcgi?id=ueda--000kai
39,Ryutaro Umeno,34,52,132,118,7,26,4,0,0,2,2,3,7,29,.220,.270,.254,.524,30,2,1,6,0,4,,player.fcgi?id=umeno-001ryu
40,Ryo Watanabe,30,22,24,19,0,3,0,0,0,1,0,0,5,8,.158,.333,.158,.491,3,1,0,0,0,1,,player.fcgi?id=watana002ryo
,40 Players,27.7,143,5413,4770,496,1168,192,24,93,460,100,41,441,1090,.245,.313,.354,.666,1687,88,41,136,25,43,,-9999
